[20:56:13] [main/INFO]: Loading Minecraft 1.16.5 with Fabric Loader 0.16.3
[20:56:14] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 11
	- minecraft 1.16.5
[20:56:14] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/special-fiesta/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[20:56:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:56:19] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:56:19] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:56:19] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:56:19] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:56:19] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:56:19] [main/INFO]: Reloading ResourceManager: Default
[20:56:20] [Worker-Main-4/INFO]: Loaded 7 recipes
[20:56:20] [Worker-Main-4/INFO]: Loaded 927 advancements
[20:56:22] [Server thread/INFO]: Starting minecraft server version 1.16.5
[20:56:22] [Server thread/INFO]: Loading properties
[20:56:22] [Server thread/INFO]: Default game type: SURVIVAL
[20:56:22] [Server thread/INFO]: Generating keypair
[20:56:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:56:23] [Server thread/INFO]: Using epoll channel type
[20:56:23] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:56:23] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:56:23] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:56:23] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:56:23] [Server thread/INFO]: Preparing level "world"
[20:56:28] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:56:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:56:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:56:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:56:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:56:30] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[20:56:30] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[20:56:31] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[20:56:32] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[20:56:32] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[20:56:32] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[20:56:33] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[20:56:33] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[20:56:34] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[20:56:34] [Worker-Main-4/INFO]: Preparing spawn area: 12%
[20:56:35] [Worker-Main-4/INFO]: Preparing spawn area: 16%
[20:56:35] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[20:56:36] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[20:56:36] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[20:56:37] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[20:56:37] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[20:56:38] [Worker-Main-4/INFO]: Preparing spawn area: 26%
[20:56:38] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[20:56:39] [Worker-Main-5/INFO]: Preparing spawn area: 30%
[20:56:39] [Worker-Main-4/INFO]: Preparing spawn area: 32%
[20:56:40] [Worker-Main-5/INFO]: Preparing spawn area: 33%
[20:56:40] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[20:56:41] [Worker-Main-4/INFO]: Preparing spawn area: 35%
[20:56:42] [Worker-Main-4/INFO]: Preparing spawn area: 40%
[20:56:42] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[20:56:43] [Worker-Main-4/INFO]: Preparing spawn area: 45%
[20:56:43] [Worker-Main-4/INFO]: Preparing spawn area: 45%
[20:56:44] [Worker-Main-4/INFO]: Preparing spawn area: 52%
[20:56:44] [Worker-Main-5/INFO]: Preparing spawn area: 56%
